IBS.Diet.1997.1998.bib	9375486	vegetable	Genes/Proteins	fbpp0086200
IBS.Diet.1997.1998.bib	9375486	constipation	Disease	doid:2089
IBS.Diet.1997.1998.bib	9375486	caffeine	Chemical Compound	cids00002519
IBS.Diet.1997.1998.bib	9375486	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	10027679	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	10027679	disease	Disease	doid:4
IBS.Diet.1997.1998.bib	9647015	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9647015	behaviors	Biological Process	go:0007610
IBS.Diet.1997.1998.bib	9365140	pathogenesis	Biological Process	go:0009405
IBS.Diet.1997.1998.bib	9365140	gastroparesis	Disease	doid:11914
IBS.Diet.1997.1998.bib	9365140	bowel	Tissue	bto:0000648
IBS.Diet.1997.1998.bib	9365140	diarrhea	Disease	doid:13250
IBS.Diet.1997.1998.bib	9365140	gastric emptying	Biological Process	go:0035483
IBS.Diet.1997.1998.bib	9365140	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9664195	cholecystokinin	Genes/Proteins	ensrnop00000026159
IBS.Diet.1997.1998.bib	9664195	somatostatin	Genes/Proteins	ensmusp00000004480
IBS.Diet.1997.1998.bib	9664195	5-ht4	Genes/Proteins	ensgalp00000002103
IBS.Diet.1997.1998.bib	9664195	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9664195	disease	Disease	doid:4
IBS.Diet.1997.1998.bib	9664195	leuprolide	Chemical Compound	cids00657180
IBS.Diet.1997.1998.bib	9664195	5-ht3	Genes/Proteins	ensmusp00000003826
IBS.Diet.1997.1998.bib	9664195	serotonin	Chemical Compound	cids00005202
IBS.Diet.1997.1998.bib	9664195	hormone	Molecular Function	go:0005179
IBS.Diet.1997.1998.bib	9664195	loxiglumide	Chemical Compound	cids00060182
IBS.Diet.1997.1998.bib	9178673	celiac sprue	Disease	doid:10608
IBS.Diet.1997.1998.bib	9178673	diarrhea	Disease	doid:13250
IBS.Diet.1997.1998.bib	9039402	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9218081	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9218081	disease	Disease	doid:4
IBS.Diet.1997.1998.bib	9218081	sleep	Biological Process	go:0030431
IBS.Diet.1997.1998.bib	9777836	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9777836	gastroenteritis	Disease	doid:2326
IBS.Diet.1997.1998.bib	10079906	central nervous system	Tissue	bto:0000227
IBS.Diet.1997.1998.bib	10079906	muscle	Tissue	bto:0000887
IBS.Diet.1997.1998.bib	10079906	nerve	Tissue	bto:0000925
IBS.Diet.1997.1998.bib	10079906	central nervous system disorder	Disease	doid:331
IBS.Diet.1997.1998.bib	10079906	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	10079906	constipation	Disease	doid:2089
IBS.Diet.1997.1998.bib	10079906	disease	Disease	doid:4
IBS.Diet.1997.1998.bib	10079906	adults	Tissue	bto:0001043
IBS.Diet.1997.1998.bib	9820394	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9587089	short bowel syndrome	Disease	doid:10605
IBS.Diet.1997.1998.bib	9587089	volvulus	Disease	doid:8445
IBS.Diet.1997.1998.bib	9587089	inguinal hernia	Disease	doid:0060320
IBS.Diet.1997.1998.bib	9587089	celiac sprue	Disease	doid:10608
IBS.Diet.1997.1998.bib	9587089	cecal	Tissue	bto:0000166
IBS.Diet.1997.1998.bib	9587089	diarrhea	Disease	doid:13250
IBS.Diet.1997.1998.bib	9587089	jejunoileitis	Disease	doid:0060188
IBS.Diet.1997.1998.bib	9587089	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9018765	bowel	Tissue	bto:0000648
IBS.Diet.1997.1998.bib	9018765	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9770995	bowel dysfunction	Disease	doid:9779
IBS.Diet.1997.1998.bib	9770995	duodenogastric reflux	Disease	doid:4071
IBS.Diet.1997.1998.bib	9770995	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	9770995	bran	Genes/Proteins	fbpp0099961
IBS.Diet.1997.1998.bib	9770995	wheat	Organism	4565
IBS.Diet.1997.1998.bib	9770995	constipation	Disease	doid:2089
IBS.Diet.1997.1998.bib	10207217	gastroenteritis	Disease	doid:2326
IBS.Diet.1997.1998.bib	10207217	small intestine	Tissue	bto:0000651
IBS.Diet.1997.1998.bib	10207217	celiac disease	Disease	doid:10608
IBS.Diet.1997.1998.bib	10207217	diarrhea	Disease	doid:13250
IBS.Diet.1997.1998.bib	10207217	mucosal	Tissue	bto:0000886
IBS.Diet.1997.1998.bib	10207217	lactulose	Chemical Compound	cids00011333
IBS.Diet.1997.1998.bib	10207217	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.1997.1998.bib	10207217	disease	Disease	doid:4
IBS.Diet.1997.1998.bib	9697107	small intestine	Tissue	bto:0000651
IBS.Diet.1997.1998.bib	9697107	jejunal	Tissue	bto:0000657
IBS.Diet.1997.1998.bib	9697107	irritable bowel syndrome	Disease	doid:9778
IBS.Diet.2016.2016.bib	27288567	stress response	Biological Process	go:0006950
IBS.Diet.2016.2016.bib	27288567	major depressive disorder	Disease	doid:1470
IBS.Diet.2016.2016.bib	27288567	bifidobacterium	Organism	1678
IBS.Diet.2016.2016.bib	27288567	lactobacillus	Organism	1578
IBS.Diet.2016.2016.bib	26808363	gfd	Genes/Proteins	fbpp0081767
IBS.Diet.2016.2016.bib	26808363	allergy	Disease	doid:1205
