Colitis.Food.1995.1996.bib	8563901	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	8563901	hospitals	Environment	envo:00002173
Colitis.Food.1995.1996.bib	8563901	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	8563901	fruits	Tissue	bto:0000486
Colitis.Food.1995.1996.bib	7588509	excretion	Biological Process	go:0007588
Colitis.Food.1995.1996.bib	7588509	rye	Organism	4550
Colitis.Food.1995.1996.bib	7588509	bran	Genes/Proteins	fbpp0099961
Colitis.Food.1995.1996.bib	7588509	ileal	Tissue	bto:0000620
Colitis.Food.1995.1996.bib	7588510	excretion	Biological Process	go:0007588
Colitis.Food.1995.1996.bib	7588510	bran	Genes/Proteins	fbpp0099961
Colitis.Food.1995.1996.bib	7588510	wheat	Organism	4565
Colitis.Food.1995.1996.bib	7588510	ileal	Tissue	bto:0000620
Colitis.Food.1995.1996.bib	7883230	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	7883230	colon	Organism	1542223
Colitis.Food.1995.1996.bib	7883230	rectal	Tissue	bto:0001158
Colitis.Food.1995.1996.bib	7883230	cancer	Disease	doid:162
Colitis.Food.1995.1996.bib	7883230	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	8849055	serum albumin	Genes/Proteins	ensp00000295897
Colitis.Food.1995.1996.bib	8849055	gastroenteritis	Disease	doid:2326
Colitis.Food.1995.1996.bib	8849055	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	8849055	eosinophils	Tissue	bto:0000399
Colitis.Food.1995.1996.bib	8849055	fissure	Environment	envo:00000408
Colitis.Food.1995.1996.bib	8849055	diarrhoea	Disease	doid:13250
Colitis.Food.1995.1996.bib	8849055	hemoglobin	Cellular Component	go:0005833
Colitis.Food.1995.1996.bib	8568317	escherichia coli o157:h7	Organism	83334
Colitis.Food.1995.1996.bib	8533400	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	8533400	hemolytic uremic syndrome	Disease	doid:12554
Colitis.Food.1995.1996.bib	8533400	escherichia coli o157:h7	Organism	83334
Colitis.Food.1995.1996.bib	7747983	escherichia coli	Organism	562
Colitis.Food.1995.1996.bib	7747983	c. no	Organism	1056959
Colitis.Food.1995.1996.bib	7747983	growth	Biological Process	go:0040007
Colitis.Food.1995.1996.bib	7747983	shigella flexneri	Organism	623
Colitis.Food.1995.1996.bib	7546450	reservoir	Environment	envo:00000025
Colitis.Food.1995.1996.bib	7546450	humans	Organism	9605
Colitis.Food.1995.1996.bib	7546450	e. coli	Organism	562
Colitis.Food.1995.1996.bib	7546450	o26	Chemical Compound	cids46870038
Colitis.Food.1995.1996.bib	7546450	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	7546450	gastroenteritis	Disease	doid:2326
Colitis.Food.1995.1996.bib	7546450	sta	Genes/Proteins	ensrnop00000043445
Colitis.Food.1995.1996.bib	7546450	diarrhoea	Disease	doid:13250
Colitis.Food.1995.1996.bib	7546450	contaminated water	Environment	envo:00002186
Colitis.Food.1995.1996.bib	7546450	hemolytic uremic syndrome	Disease	doid:12554
Colitis.Food.1995.1996.bib	7546450	o111	Chemical Compound	cids00001238
Colitis.Food.1995.1996.bib	7546450	swine	Organism	9823
Colitis.Food.1995.1996.bib	7546450	cattle	Organism	9913
Colitis.Food.1995.1996.bib	7546450	bovine strains	Organism	195480
Colitis.Food.1995.1996.bib	7546450	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	7546450	lt-i	Chemical Compound	cids16007060
Colitis.Food.1995.1996.bib	7548565	clostridium perfringens	Organism	1502
Colitis.Food.1995.1996.bib	7548565	bel	Genes/Proteins	fbpp0081374
Colitis.Food.1995.1996.bib	7548565	humans	Organism	9605
Colitis.Food.1995.1996.bib	7548565	clostridium difficile	Organism	1496
Colitis.Food.1995.1996.bib	7548565	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	7548565	clostridia	Organism	1485
Colitis.Food.1995.1996.bib	7548565	rabbits	Organism	9986
Colitis.Food.1995.1996.bib	7548565	diarrhea	Disease	doid:13250
Colitis.Food.1995.1996.bib	7548565	clostridium colinum	Organism	36835
Colitis.Food.1995.1996.bib	7548565	clostridial	Organism	186801
Colitis.Food.1995.1996.bib	7548565	sheep	Organism	9940
Colitis.Food.1995.1996.bib	7548565	pig	Organism	9823
Colitis.Food.1995.1996.bib	7548565	type c	Genes/Proteins	fbpp0290499
Colitis.Food.1995.1996.bib	7548565	clostridium septicum	Organism	1504
Colitis.Food.1995.1996.bib	7548565	clostridium spiroforme	Organism	29348
Colitis.Food.1995.1996.bib	7552633	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	7552633	inflammatory bowel disease	Disease	doid:0050589
Colitis.Food.1995.1996.bib	8899990	glucose	Chemical Compound	cids53782692
Colitis.Food.1995.1996.bib	8899990	heart	Tissue	bto:0000562
Colitis.Food.1995.1996.bib	8899990	soy	Genes/Proteins	fbpp0088684
Colitis.Food.1995.1996.bib	8899990	growth	Biological Process	go:0040007
Colitis.Food.1995.1996.bib	8899990	escherichia coli	Organism	562
Colitis.Food.1995.1996.bib	8899990	brain	Tissue	bto:0000142
Colitis.Food.1995.1996.bib	8597010	grapes	Genes/Proteins	fbpp0080441
Colitis.Food.1995.1996.bib	8597010	diarrhoea	Disease	doid:13250
Colitis.Food.1995.1996.bib	8597010	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	8597010	rectal	Tissue	bto:0001158
Colitis.Food.1995.1996.bib	8597010	fruits	Tissue	bto:0000486
Colitis.Food.1995.1996.bib	8780905	growth factors	Molecular Function	go:0008083
Colitis.Food.1995.1996.bib	8780905	cellular growth	Biological Process	go:0016049
Colitis.Food.1995.1996.bib	8780905	humans	Organism	9605
Colitis.Food.1995.1996.bib	8780905	receptors	Cellular Component	go:0043235
Colitis.Food.1995.1996.bib	8780905	membranes	Cellular Component	go:0016020
Colitis.Food.1995.1996.bib	8780905	breast	Tissue	bto:0000149
Colitis.Food.1995.1996.bib	8780905	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	8780905	diarrhea	Disease	doid:13250
Colitis.Food.1995.1996.bib	8780905	growth	Biological Process	go:0040007
Colitis.Food.1995.1996.bib	8780905	enterocytes	Tissue	bto:0000398
Colitis.Food.1995.1996.bib	8780905	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	8780905	necrotizing enterocolitis	Disease	doid:8677
Colitis.Food.1995.1996.bib	8780905	neonates	Tissue	bto:0001762
Colitis.Food.1995.1996.bib	9113884	lymphocytic colitis	Disease	doid:0060184
Colitis.Food.1995.1996.bib	9113884	microscopic colitis	Disease	doid:0060182
Colitis.Food.1995.1996.bib	9113884	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	9113884	celiac disease	Disease	doid:10608
Colitis.Food.1995.1996.bib	9113884	bowel	Tissue	bto:0000648
Colitis.Food.1995.1996.bib	9113884	diarrhea	Disease	doid:13250
Colitis.Food.1995.1996.bib	9113884	colorectal	Tissue	bto:0001613
Colitis.Food.1995.1996.bib	7640752	respiratory system	Tissue	bto:0000203
Colitis.Food.1995.1996.bib	7640752	cow	Organism	9913
Colitis.Food.1995.1996.bib	7640752	skin	Tissue	bto:0001253
Colitis.Food.1995.1996.bib	7640752	gastro-intestinal tract	Tissue	bto:0000511
Colitis.Food.1995.1996.bib	8534084	e. coli o157:h7	Organism	83334
Colitis.Food.1995.1996.bib	8534084	abstract	Genes/Proteins	fbpp0078606
Colitis.Food.1995.1996.bib	8534084	cfu	Chemical Compound	cids77620543
Colitis.Food.1995.1996.bib	7741789	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	7741789	5-aminosalicylic acid	Chemical Compound	cids00004075
Colitis.Food.1995.1996.bib	7741789	large intestine	Tissue	bto:0000706
Colitis.Food.1995.1996.bib	7741789	rats	Organism	10116
Colitis.Food.1995.1996.bib	7741789	disease	Disease	doid:4
Colitis.Food.1995.1996.bib	8746032	gastroenteritis	Disease	doid:2326
Colitis.Food.1995.1996.bib	8746032	clostridium difficle	Organism	1496
Colitis.Food.1995.1996.bib	8746032	pseudomembranous colitis	Disease	doid:0060185
Colitis.Food.1995.1996.bib	8746032	hospital	Environment	envo:00002173
Colitis.Food.1995.1996.bib	8746032	diarrhoea	Disease	doid:13250
Colitis.Food.1995.1996.bib	8746032	aging	Biological Process	go:0007568
Colitis.Food.1995.1996.bib	8746032	adults	Tissue	bto:0001043
Colitis.Food.1995.1996.bib	8809238	short bowel syndrome	Disease	doid:10605
Colitis.Food.1995.1996.bib	8809238	growth	Biological Process	go:0040007
Colitis.Food.1995.1996.bib	7729855	hypersensitivity	Biological Process	go:0002524
Colitis.Food.1995.1996.bib	7729855	galactosemia	Disease	doid:9870
Colitis.Food.1995.1996.bib	7729855	fructose	Chemical Compound	cids00439709
Colitis.Food.1995.1996.bib	7729855	allergy	Disease	doid:1205
Colitis.Food.1995.1996.bib	8563890	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	8563890	hospitals	Environment	envo:00002173
Colitis.Food.1995.1996.bib	8983772	intestine	Tissue	bto:0000648
Colitis.Food.1995.1996.bib	8983772	colitis	Disease	doid:0060180
Colitis.Food.1995.1996.bib	8983772	proctitis	Disease	doid:3127
Colitis.Food.1995.1996.bib	8983772	twenty-four	Genes/Proteins	fbpp0070611
Colitis.Food.1995.1996.bib	8983772	bran	Genes/Proteins	fbpp0099961
Colitis.Food.1995.1996.bib	8983772	wheat	Organism	4565
Colitis.Food.1995.1996.bib	8745539	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	8745539	type i hypersensitivity	Biological Process	go:0016068
Colitis.Food.1995.1996.bib	8745539	pathogenesis	Biological Process	go:0009405
Colitis.Food.1995.1996.bib	8745539	intestine	Tissue	bto:0000648
Colitis.Food.1995.1996.bib	8745539	immune system	Tissue	bto:0005810
Colitis.Food.1995.1996.bib	8745539	allergy	Disease	doid:1205
Colitis.Food.1995.1996.bib	8888724	ulcerative colitis	Disease	doid:8577
Colitis.Food.1995.1996.bib	8888724	respiratory bursts	Biological Process	go:0045730
Colitis.Food.1995.1996.bib	8888724	pathogenesis	Biological Process	go:0009405
Colitis.Food.1995.1996.bib	8888724	cu-zn sod	Genes/Proteins	ensmusp00000023707
