Crohn.Nutrition.2011.2012.bib	22447396	nod2	Genes/Proteins	ensrnop00000061463
Crohn.Nutrition.2011.2012.bib	22447396	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	21825089	short bowel syndrome	Disease	doid:10605
Crohn.Nutrition.2011.2012.bib	21825089	ulcerative colitis	Disease	doid:8577
Crohn.Nutrition.2011.2012.bib	21825089	crohn disease	Disease	doid:8778
Crohn.Nutrition.2011.2012.bib	21825089	pathogenesis	Biological Process	go:0009405
Crohn.Nutrition.2011.2012.bib	21825089	small intestine	Tissue	bto:0000651
Crohn.Nutrition.2011.2012.bib	21825089	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	21825089	inflammatory bowel disease	Disease	doid:0050589
Crohn.Nutrition.2011.2012.bib	21825089	flare	Genes/Proteins	fbpp0075581
Crohn.Nutrition.2011.2012.bib	21825089	adults	Tissue	bto:0001043
Crohn.Nutrition.2011.2012.bib	22699323	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	22699323	growth	Biological Process	go:0040007
Crohn.Nutrition.2011.2012.bib	22699323	mucosal	Tissue	bto:0000886
Crohn.Nutrition.2011.2012.bib	21150652	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	21150652	crohn disease	Disease	doid:8778
Crohn.Nutrition.2011.2012.bib	21150652	necd	Genes/Proteins	fbpp0070483
Crohn.Nutrition.2011.2012.bib	22440891	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	22440891	ulcerative colitis	Disease	doid:8577
Crohn.Nutrition.2011.2012.bib	21505365	inflammatory bowel disease	Disease	doid:0050589
Crohn.Nutrition.2011.2012.bib	21505365	disease	Disease	doid:4
Crohn.Nutrition.2011.2012.bib	21505365	varicella	Disease	doid:8659
Crohn.Nutrition.2011.2012.bib	22483567	tumor necrosis factor alpha	Genes/Proteins	ensmusp00000025263
Crohn.Nutrition.2011.2012.bib	22483567	inflammatory bowel disease	Disease	doid:0050589
Crohn.Nutrition.2011.2012.bib	21681111	acute pancreatitis	Disease	doid:2913
Crohn.Nutrition.2011.2012.bib	21681111	pancreatitis	Disease	doid:4989
Crohn.Nutrition.2011.2012.bib	21702710	mannan-binding	Molecular Function	go:2001065
Crohn.Nutrition.2011.2012.bib	21702710	ulcerative colitis	Disease	doid:8577
Crohn.Nutrition.2011.2012.bib	21702710	lectin	Genes/Proteins	fbpp0288953
Crohn.Nutrition.2011.2012.bib	21702710	innate immunity	Biological Process	go:0045087
Crohn.Nutrition.2011.2012.bib	21702710	opsonin	Molecular Function	go:0003823
Crohn.Nutrition.2011.2012.bib	21702710	inflammatory bowel disease	Disease	doid:0050589
Crohn.Nutrition.2011.2012.bib	21702710	adult	Tissue	bto:0001043
Crohn.Nutrition.2011.2012.bib	21702710	disease	Disease	doid:4
